ts_unix	mode	model	preset_effective	requested_preset	num_thread	keep_alive	repeat_idx	ttft_ms	total_ms	tok_s	response_chars	rc	error
1774283130	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	1	1808	2490	201.96436569448497	463	0	 
1774283131	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	2	98	796	198.22394995593558	469	0	 
1774283132	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	3	108	753	216.7260231835349	469	0	 
1774283135	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	1	1762	2860	188.86122465408593	720	0	 
1774283136	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	2	115	963	209.06352966233314	621	0	 
1774283137	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	3	63	864	220.78789854755425	621	0	 
1774283140	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	1	1762	2435	208.59974583326937	463	0	 
1774283140	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	2	90	748	212.53683983651976	469	0	 
1774283141	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	3	79	717	218.02604860424384	469	0	 
1774283143	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	1	1860	2015	229.7762966908307	104	0	 
1774283144	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	2	85	305	161.2345853123304	110	0	 
1774283144	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	3	88	256	217.56918637235546	110	0	 
1774283146	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	1	1445	2080	217.85491648201588	463	0	 
1774283147	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	2	119	867	184.07706336787186	469	0	 
1774283148	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	3	89	725	221.7414206078923	469	0	 
1774283150	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	1	1524	2165	216.69168279034776	463	0	 
1774283151	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	2	93	812	198.4052932746598	469	0	 
1774283152	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	3	84	743	218.424434487578	469	0	 
1774283154	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	1	1629	2281	214.52876663914233	463	0	 
1774283155	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	2	136	778	218.61965160878216	469	0	 
1774283156	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	3	121	769	214.1250632528364	469	0	 
1774283159	keepalive-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	0s	1	1847	2549	196.00174989137292	463	0	 
1774283160	keepalive-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	0s	2	1144	1802	213.5692059273844	463	0	 
1774283163	keepalive-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	0s	3	1335	2028	204.51327402592185	463	0	 
1774283164	keepalive-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	1	1041	1755	195.42681108667293	463	0	 
1774283165	keepalive-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	2	126	771	216.39662520536632	469	0	 
1774283166	keepalive-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	3	128	776	215.25223960369854	469	0	 
