ts_unix	mode	model	preset_effective	requested_preset	num_thread	keep_alive	repeat_idx	ttft_ms	total_ms	tok_s	response_chars	rc	error
1774283908	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	1	1595	2281	201.57365084668885	463	0	 
1774283909	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	2	139	829	205.03698699851978	469	0	 
1774283910	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	3	95	744	218.47458840560995	469	0	 
1774283911	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	4	124	770	218.15659568473131	469	0	 
1774283912	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	5	125	766	218.78870535648304	469	0	 
1774283912	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	6	107	749	217.89980247672304	469	0	 
1774283913	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	7	89	742	216.4750421137819	469	0	 
1774283914	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	8	86	725	217.4363285870482	469	0	 
1774283915	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	9	106	754	216.21674945346996	469	0	 
1774283916	preset-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	none	10m	10	141	795	214.3426001180428	469	0	 
1774283919	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	1	1782	2788	207.12849233498468	720	0	 
1774283920	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	2	66	892	218.15328981498195	621	0	 
1774283921	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	3	65	951	199.44863806687155	621	0	 
1774283922	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	4	119	948	217.99734481641346	621	0	 
1774283923	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	5	99	926	217.96975124108533	621	0	 
1774283924	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	6	104	917	219.07871711470867	621	0	 
1774283925	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	7	79	891	219.3127021120439	621	0	 
1774283926	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	8	105	912	219.39073223180503	621	0	 
1774283927	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	9	134	964	218.37462565732673	621	0	 
1774283928	preset-sweep	tinyllama:latest	gfx900_balanced	gfx900_balanced	none	10m	10	79	908	218.41885085037353	621	0	 
1774283930	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	1	1450	2134	206.13250017711695	463	0	 
1774283931	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	2	139	795	212.40263349197284	469	0	 
1774283931	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	3	88	741	215.89275089067357	469	0	 
1774283932	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	4	80	734	215.94062819048588	469	0	 
1774283933	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	5	113	771	215.1985354354323	469	0	 
1774283934	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	6	104	801	202.11465808545938	469	0	 
1774283935	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	7	117	781	214.820834783325	469	0	 
1774283936	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	8	118	792	214.10825570003556	469	0	 
1774283937	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	9	65	727	215.115160531512	469	0	 
1774283937	preset-sweep	tinyllama:latest	gfx900_longctx	gfx900_longctx	none	10m	10	109	764	214.74609311971417	469	0	 
1774283939	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	1	1533	1692	223.93962766789775	104	0	 
1774283940	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	2	87	310	158.9191455988259	110	0	 
1774283940	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	3	89	294	171.57802875997353	110	0	 
1774283940	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	4	100	272	214.48604568867802	110	0	 
1774283941	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	5	81	263	197.76414898505305	110	0	 
1774283941	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	6	94	256	220.06276919135257	110	0	 
1774283941	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	7	68	240	215.80424591077255	110	0	 
1774283942	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	8	84	256	215.7811416574267	110	0	 
1774283942	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	9	119	296	214.20017717433782	110	0	 
1774283942	preset-sweep	tinyllama:latest	gfx900_tinybench	gfx900_tinybench	none	10m	10	139	313	214.1088469962924	110	0	 
