ts_unix	mode	model	preset_effective	requested_preset	num_thread	keep_alive	repeat_idx	ttft_ms	total_ms	tok_s	response_chars	rc	error
1774284038	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	1	4139	4834	48.17045814121503	140	0	 
1774284039	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	2	298	991	49.34191641671134	140	0	 
1774284041	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	3	414	1100	49.488352379318904	140	0	 
1774284042	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	4	285	971	49.43997820527552	140	0	 
1774284043	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	5	337	1008	49.52779719386662	140	0	 
1774284044	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	6	260	944	49.27046980879289	140	0	 
1774284045	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	7	325	1008	49.48064504697407	140	0	 
1774284046	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	8	228	922	49.25062473883932	140	0	 
1774284047	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	9	264	952	49.309595155107424	140	0	 
1774284048	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	4	10m	10	256	951	49.11170553191059	140	0	 
1774284052	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	1	3956	4687	45.32481073794322	140	0	 
1774284054	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	2	289	1003	47.727333818260014	140	0	 
1774284055	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	3	370	1096	46.32364955351228	140	0	 
1774284056	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	4	302	984	49.52123930546125	140	0	 
1774284057	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	5	274	959	49.328560597781255	140	0	 
1774284058	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	6	296	975	49.33338234221165	140	0	 
1774284059	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	7	289	989	49.185739912890085	140	0	 
1774284060	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	8	254	950	49.33800663809329	140	0	 
1774284061	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	9	236	954	47.79302393650517	140	0	 
1774284062	thread-sweep	qwen2.5:7b	gfx900_safe	gfx900_safe	6	10m	10	318	999	49.3124224290939	140	0	 
