ts_unix	mode	model	preset_effective	requested_preset	num_thread	keep_alive	repeat_idx	ttft_ms	total_ms	tok_s	response_chars	rc	error
1774283953	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	1	1499	2160	208.6888475564685	463	0	 
1774283954	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	2	106	788	204.15245975547344	469	0	 
1774283955	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	3	114	780	215.43947212630053	469	0	 
1774283955	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	4	86	723	217.18098072378137	469	0	 
1774283956	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	5	82	771	202.00471021011074	469	0	 
1774283957	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	6	153	812	215.19473551633936	469	0	 
1774283958	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	7	148	808	215.28377961904724	469	0	 
1774283959	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	8	85	734	215.81312323521138	469	0	 
1774283960	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	9	84	742	215.0130135618585	469	0	 
1774283960	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	10	109	748	216.17223502559514	469	0	 
1774283961	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	11	72	731	214.41191819367873	469	0	 
1774283962	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	12	105	753	215.00512575579256	469	0	 
1774283963	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	13	109	766	214.74126835369924	469	0	 
1774283964	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	14	63	709	215.25136614786933	469	0	 
1774283965	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	15	90	749	213.92078083304432	469	0	 
1774283965	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	16	109	773	214.3910742188886	469	0	 
1774283966	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	17	98	755	214.83578128272023	469	0	 
1774283967	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	18	74	734	214.43839083005685	469	0	 
1774283968	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	19	77	748	212.38484068753428	469	0	 
1774283969	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	20	135	795	213.69480379247642	469	0	 
1774283971	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	1	1757	2418	209.45423565268962	463	0	 
1774283972	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	2	89	734	217.50514767988642	469	0	 
1774283973	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	3	75	759	203.37615701668915	469	0	 
1774283974	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	4	133	773	217.20764399652214	469	0	 
1774283975	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	5	101	753	215.65860066826974	469	0	 
1774283975	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	6	134	810	214.488416012683	469	0	 
1774283976	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	7	87	722	218.75115111384545	469	0	 
1774283977	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	8	113	764	217.26039536591858	469	0	 
1774283978	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	9	150	808	216.2300527480713	469	0	 
1774283979	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	10	85	723	218.8860630717147	469	0	 
1774283979	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	11	98	731	219.87025181602522	469	0	 
1774283980	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	12	87	722	218.7088573184628	469	0	 
1774283981	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	13	85	737	217.34844189142288	469	0	 
1774283982	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	14	89	719	220.9000651505049	469	0	 
1774283983	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	15	88	728	219.5176504367321	469	0	 
1774283983	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	16	74	717	219.86655024526706	469	0	 
1774283984	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	17	102	741	220.21633433326457	469	0	 
1774283985	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	18	64	697	220.039266901088	469	0	 
1774283986	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	19	77	703	221.23490193862355	469	0	 
1774283987	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	20	105	753	219.32291831506902	469	0	 
