ts_unix	mode	model	preset_effective	requested_preset	num_thread	keep_alive	repeat_idx	ttft_ms	total_ms	tok_s	response_chars	rc	error
1774283326	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	1	1751	2461	196.74813423321606	463	0	 
1774283327	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	2	89	739	217.53254052703883	469	0	 
1774283328	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	3	102	761	211.82471033248055	469	0	 
1774283329	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	4	84	723	217.50839205577037	469	0	 
1774283330	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	5	79	776	201.75038698797766	469	0	 
1774283330	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	6	77	721	216.63561764884477	469	0	 
1774283331	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	7	160	816	215.44563051939517	469	0	 
1774283332	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	8	81	748	214.32976598963768	469	0	 
1774283333	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	9	63	725	213.81174495242837	469	0	 
1774283334	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	2	10m	10	83	744	213.62286245146154	469	0	 
1774283336	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	1	1459	2129	207.8395324488642	463	0	 
1774283337	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	2	117	783	215.66777415943977	469	0	 
1774283338	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	3	112	768	216.32907312039117	469	0	 
1774283339	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	4	118	833	200.176095536794	469	0	 
1774283339	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	5	94	748	215.89946726317305	469	0	 
1774283340	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	6	73	714	216.99050210534185	469	0	 
1774283341	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	7	75	719	216.70005142580024	469	0	 
1774283342	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	8	120	782	215.26399955042115	469	0	 
1774283343	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	9	95	749	215.32413958135018	469	0	 
1774283343	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	4	10m	10	96	740	215.7890577667729	469	0	 
1774283346	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	1	1526	2193	207.17928503027613	463	0	 
1774283347	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	2	75	718	216.38735339192593	469	0	 
1774283347	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	3	130	773	215.81048957944887	469	0	 
1774283348	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	4	83	750	212.9832974138666	469	0	 
1774283349	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	5	116	780	214.8266932142333	469	0	 
1774283350	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	6	129	773	215.8955981242154	469	0	 
1774283351	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	7	103	744	215.66644492505523	469	0	 
1774283352	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	8	125	786	214.6741325074909	469	0	 
1774283352	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	9	76	720	215.50236390772335	469	0	 
1774283353	thread-sweep	tinyllama:latest	gfx900_safe	gfx900_safe	6	10m	10	109	753	215.6137146486807	469	0	 
